Coral
Fluted Coral
Wooden Log
Timber
Tree Bark
Ladder
Leaves
Stone
Rope
Coal
Small Vial
Big Vial
Explosives
Fabric
Limestone
Fertiliser
Wooden Panel
Wooden Blade
Pebbles
Stone Plate
Path Tile
Stone Wheel
Stone Spike
Quartz
Dowsing Stone
Stumpy Spark
Arty Spark
Crafty Spark
Carry Spark
Choppy Spark
Loamy Spark
Rocky Spark
Scouty Spark
Hauling Spark
Puffy Spark
Boomy Spark
Crashy Spark
Slashy Spark
Drilly Spark
Handy Spark
Burning Spark
Freezing Spark
Aetheric Shard
Aetheric Pellet
Aetheric Clump
Aether Crystal
Aether Flower
Aether Segment
Aether Apple
Miasma Vial
Raw Aether
Refined Aether
Miasma
Leaf Knot
Frozen Log
Frozen Stone
Stellar Ice
Volcanic Soil
Copper Ore
Copper Ingot
Drill Bit
Copper Cutting
Coral Seed
Copper Seed
Aether Seed
Stellar Seed
Copper Sap
Fireshroom Cluster
Lava Cap
Glowshroom
Stellar Fertiliser
Liquid Fertiliser
Stellar Leaves
Bumpy Geode
Shiny Geode
Cracked Geode
Geode Cluster
